,subject,trial,y_time,y
0,6,1,0.02,0
1,6,1,0.12,0
2,6,1,0.22,0
3,6,1,0.32,0
4,6,1,0.42,0
5,6,1,0.52,0
6,6,1,0.62,0
7,6,1,0.72,0
8,6,1,0.82,0
9,6,1,0.92,0
10,6,1,1.02,0
11,6,1,1.12,0
12,6,1,1.22,0
13,6,1,1.32,0
14,6,1,1.42,0
15,6,1,1.52,0
16,6,1,1.62,0
17,6,1,1.72,0
18,6,1,1.82,0
19,6,1,1.92,0
20,6,1,2.02,0
21,6,1,2.12,0
22,6,1,2.22,0
23,6,1,2.32,0
24,6,1,2.42,0
25,6,1,2.52,0
26,6,1,2.62,0
27,6,1,2.72,0
28,6,1,2.82,0
29,6,1,2.92,0
30,6,1,3.02,0
31,6,1,3.12,0
32,6,1,3.22,0
33,6,1,3.32,0
34,6,1,3.42,0
35,6,1,3.52,0
36,6,1,3.62,0
37,6,1,3.72,0
38,6,1,3.82,0
39,6,1,3.92,0
40,6,1,4.02,0
41,6,1,4.12,0
42,6,1,4.22,0
43,6,1,4.32,0
44,6,1,4.42,0
45,6,1,4.52,0
46,6,1,4.62,0
47,6,1,4.72,0
48,6,1,4.82,0
49,6,1,4.92,0
50,6,1,5.02,0
51,6,1,5.12,0
52,6,1,5.22,0
53,6,1,5.32,0
54,6,1,5.42,0
55,6,1,5.52,0
56,6,1,5.62,0
57,6,1,5.72,0
58,6,1,5.82,0
59,6,1,5.92,0
60,6,1,6.02,0
61,6,1,6.12,0
62,6,1,6.22,0
63,6,1,6.32,0
64,6,1,6.42,0
65,6,1,6.52,0
66,6,1,6.62,0
67,6,1,6.72,0
68,6,1,6.82,0
69,6,1,6.92,0
70,6,1,7.02,0
71,6,1,7.12,0
72,6,1,7.22,0
73,6,1,7.32,0
74,6,1,7.42,0
75,6,1,7.52,0
76,6,1,7.62,0
77,6,1,7.72,0
78,6,1,7.82,0
79,6,1,7.92,0
80,6,1,8.02,0
81,6,1,8.12,0
82,6,1,8.22,0
83,6,1,8.32,0
84,6,1,8.42,0
85,6,1,8.52,0
