,y,y_time,subject,trial
0,0,0.02,6,1
1,0,0.12,6,1
2,0,0.22,6,1
3,0,0.32,6,1
4,0,0.42,6,1
5,0,0.52,6,1
6,0,0.62,6,1
7,0,0.72,6,1
8,0,0.82,6,1
9,0,0.92,6,1
10,0,1.02,6,1
11,0,1.12,6,1
12,0,1.22,6,1
13,0,1.32,6,1
14,0,1.42,6,1
15,0,1.52,6,1
16,0,1.62,6,1
17,0,1.72,6,1
18,0,1.82,6,1
19,0,1.92,6,1
20,0,2.02,6,1
21,0,2.12,6,1
22,0,2.22,6,1
23,0,2.32,6,1
24,0,2.42,6,1
25,0,2.52,6,1
26,0,2.62,6,1
27,0,2.72,6,1
28,0,2.82,6,1
29,0,2.92,6,1
30,0,3.02,6,1
31,0,3.12,6,1
32,0,3.22,6,1
33,0,3.32,6,1
34,0,3.42,6,1
35,0,3.52,6,1
36,0,3.62,6,1
37,0,3.72,6,1
38,0,3.82,6,1
39,0,3.92,6,1
40,0,4.02,6,1
41,0,4.12,6,1
42,0,4.22,6,1
43,0,4.32,6,1
44,0,4.42,6,1
45,0,4.52,6,1
46,0,4.62,6,1
47,0,4.72,6,1
48,0,4.82,6,1
49,0,4.92,6,1
50,0,5.02,6,1
51,0,5.12,6,1
52,0,5.22,6,1
53,0,5.32,6,1
54,0,5.42,6,1
55,0,5.52,6,1
56,0,5.62,6,1
57,0,5.72,6,1
58,0,5.82,6,1
59,0,5.92,6,1
60,0,6.02,6,1
61,0,6.12,6,1
62,0,6.22,6,1
63,0,6.32,6,1
64,0,6.42,6,1
65,0,6.52,6,1
66,0,6.62,6,1
67,0,6.72,6,1
68,0,6.82,6,1
69,0,6.92,6,1
70,0,7.02,6,1
71,0,7.12,6,1
72,0,7.22,6,1
73,0,7.32,6,1
74,0,7.42,6,1
75,0,7.52,6,1
76,0,7.62,6,1
77,0,7.72,6,1
78,0,7.82,6,1
79,0,7.92,6,1
80,0,8.02,6,1
81,0,8.12,6,1
82,0,8.22,6,1
83,0,8.32,6,1
84,0,8.42,6,1
85,0,8.52,6,1
86,0,8.62,6,1
87,0,8.72,6,1
88,0,8.82,6,1
89,0,8.92,6,1
90,0,9.02,6,1
91,0,9.12,6,1
92,0,9.22,6,1
93,0,9.32,6,1
94,0,9.42,6,1
95,0,9.52,6,1
96,0,9.62,6,1
97,0,9.72,6,1
98,0,9.82,6,1
99,0,9.92,6,1
100,0,10.02,6,1
101,0,10.12,6,1
102,0,10.22,6,1
103,0,10.32,6,1
104,0,10.42,6,1
105,0,10.52,6,1
106,0,10.62,6,1
107,0,10.72,6,1
108,0,10.82,6,1
109,0,10.92,6,1
110,0,11.02,6,1
111,0,11.12,6,1
112,0,11.22,6,1
113,0,11.32,6,1
114,0,11.42,6,1
115,0,11.52,6,1
116,0,11.62,6,1
117,0,11.72,6,1
118,0,11.82,6,1
119,0,11.92,6,1
120,0,12.02,6,1
121,0,12.12,6,1
122,0,12.22,6,1
123,0,12.32,6,1
124,0,12.42,6,1
125,0,12.52,6,1
126,0,12.62,6,1
127,0,12.72,6,1
128,0,12.82,6,1
129,0,12.92,6,1
130,0,13.02,6,1
131,0,13.12,6,1
132,0,13.22,6,1
133,0,13.32,6,1
134,0,13.42,6,1
135,0,13.52,6,1
136,0,13.62,6,1
137,0,13.72,6,1
138,0,13.82,6,1
139,0,13.92,6,1
140,0,14.02,6,1
141,0,14.12,6,1
142,0,14.22,6,1
143,0,14.32,6,1
144,0,14.42,6,1
145,0,14.52,6,1
146,0,14.62,6,1
147,0,14.72,6,1
148,0,14.82,6,1
149,0,14.92,6,1
150,0,15.02,6,1
151,0,15.12,6,1
152,0,15.22,6,1
153,0,15.32,6,1
154,0,15.42,6,1
155,0,15.52,6,1
156,0,15.62,6,1
157,0,15.72,6,1
158,0,15.82,6,1
159,0,15.92,6,1
160,0,16.02,6,1
161,0,16.12,6,1
162,0,16.22,6,1
163,0,16.32,6,1
164,0,16.42,6,1
165,0,16.52,6,1
166,0,16.62,6,1
167,0,16.72,6,1
168,0,16.82,6,1
169,0,16.92,6,1
170,0,17.02,6,1
171,0,17.12,6,1
172,0,17.22,6,1
173,0,17.32,6,1
174,0,17.42,6,1
175,0,17.52,6,1
176,0,17.62,6,1
177,0,17.72,6,1
178,0,17.82,6,1
179,0,17.92,6,1
180,0,18.02,6,1
181,0,18.12,6,1
182,0,18.22,6,1
183,0,18.32,6,1
184,0,18.42,6,1
185,0,18.52,6,1
186,0,18.62,6,1
187,0,18.72,6,1
188,0,18.82,6,1
189,0,18.92,6,1
190,0,19.02,6,1
191,0,19.12,6,1
192,0,19.22,6,1
193,0,19.32,6,1
194,0,19.42,6,1
195,0,19.52,6,1
196,0,19.62,6,1
197,0,19.72,6,1
198,0,19.82,6,1
199,0,19.92,6,1
200,0,20.02,6,1
201,0,20.12,6,1
202,0,20.22,6,1
203,0,20.32,6,1
204,0,20.42,6,1
205,0,20.52,6,1
206,0,20.62,6,1
207,0,20.72,6,1
208,0,20.82,6,1
209,0,20.92,6,1
210,0,21.02,6,1
211,0,21.12,6,1
212,0,21.22,6,1
213,0,21.32,6,1
214,0,21.42,6,1
215,0,21.52,6,1
216,0,21.62,6,1
217,0,21.72,6,1
218,0,21.82,6,1
219,0,21.92,6,1
220,0,22.02,6,1
221,0,22.12,6,1
222,0,22.22,6,1
223,0,22.32,6,1
224,0,22.42,6,1
225,0,22.52,6,1
226,0,22.62,6,1
227,0,22.72,6,1
228,0,22.82,6,1
229,0,22.92,6,1
230,0,23.02,6,1
231,0,23.12,6,1
232,0,23.22,6,1
233,0,23.32,6,1
234,0,23.42,6,1
235,0,23.52,6,1
236,0,23.62,6,1
237,0,23.72,6,1
238,0,23.82,6,1
239,0,23.92,6,1
240,0,24.02,6,1
241,0,24.12,6,1
242,0,24.22,6,1
243,0,24.32,6,1
244,0,24.42,6,1
245,0,24.52,6,1
246,0,24.62,6,1
247,0,24.72,6,1
248,0,24.82,6,1
249,0,24.92,6,1
250,0,25.02,6,1
251,0,25.12,6,1
252,0,25.22,6,1
253,0,25.32,6,1
254,0,25.42,6,1
255,0,25.52,6,1
256,0,25.62,6,1
257,0,25.72,6,1
258,0,25.82,6,1
259,0,25.92,6,1
260,0,26.02,6,1
261,0,26.12,6,1
